STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-02,80,90,,,,,,1312,0,61,0,0,,84,73,,474,130,,,135,,,16.1,,,23,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-03,80,80,,,,,,1330,0.04,52,0,0,,89,74,,402,140,,,135,,,8.9,,,18.3,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-04,80,80,,,,,,1118,0,68,0,0,,89,70,,522,50,,,135,,,13,,,18.3,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-05,100,100,,,,,,1742,1.43,8,0,0,,82,74,,66,160,,,135,,,17,,,24.2,,1,,1,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-06,100,100,,,,,,1406,0.65,0,0,0,,77,74,,0,90,,,135,,,13,,,17.2,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-07,100,100,,,,,,1324,0.01,18,0,0,,84,73,,138,100,,,90,,,12.1,,,18.3,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-08,60,70,,,,,,1748,0,63,0,0,,88,75,,480,210,,,225,,,12.1,,,16.1,,1,,1,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-09,10,20,,,,,,1218,0,97,0,0,,91,73,,732,300,,,315,,,8.9,,,17.2,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-10,40,60,,,,,,1548,0,55,0,0,,84,71,,420,30,,,45,,,15,,,19.5,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-11,20,30,,,,,,1224,0,86,0,0,,82,68,,648,30,,,360,,,13,,,21.9,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-12,50,50,,,,,,836,0,91,0,0,,85,66,,690,90,,,90,,,10.1,,,17.2,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-13,80,80,,,,,,1442,0.17,44,0,0,,83,72,,330,300,,,270,,,12.1,,,25.3,,1,,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-14,80,80,,,,,,1224,0,46,0,0,,81,69,,342,10,,,360,,,14.1,,,21.9,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-15,50,60,,,,,,1306,0,50,0,0,,81,68,,378,30,,,45,,,12.1,,,18.3,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-16,10,10,,,,,,1606,0,100,0,0,,84,65,,744,360,,,360,,,12.1,,,18.3,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-17,40,20,,,,,,2300,0,74,0,0,,84,60,,552,10,,,360,,,21,,,27.5,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-18,50,60,,,,,,1230,0,60,0,0,,66,53,,444,30,,,45,,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-19,30,40,,,,,,836,0,81,0,0,,74,50,,600,120,,,90,,,8.9,,,13.9,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-20,80,90,,,,,,1112,0,7,0,0,,78,61,,48,200,,,180,,,15,,,20.8,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-21,40,30,,,,,,1536,0,86,0,0,,86,71,,630,210,,,225,,,13,,,18.3,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-22,40,30,,,,,,1400,0,85,0,0,,88,68,,618,220,,,180,,,14.1,,,19.5,,1,,,,,,,1,,,,,,,,,,,,,
